sentence_id,paragraph_id,sentence,control,relation_types
126,6,"Other new ""Bonesmen"" that year were E. Roland Harriman, H. S. Fenimore Cooper (grandson of James Fenimore Cooper), Knight Wooley (son of Ulysses Grant Wooley), Ellery James, and Henry Neil Mallon.",,NO-RELATION
127,1,"He was a member of the Executive Committee of the United States Golf Association (USGA) from 1928-1935, serving successively as Secretary, Vice President and President.",,NO-RELATION
128,1,"After his discharge in 1919, Bush went to work for the Simmons Hardware Company in St. Louis, Missouri.",,VISITED
129,2,"From 1947 to 1950 he served as Connecticut Republican finance chairman, and was the Republican candidate for the United States Senate in 1950, losing to Senator William Benton by only 1,000 votes.",,NO-RELATION
129,3,"The following year, Bush was Connecticut chairman of the United Negro College Fund, and was one of the UNCF's earliest supporters.",,NO-RELATION
130,1,"Talia Shire (born April 25, 1946) is an American actress of Italian descent.",,NATIONALITY
131,1,She is the mother of actors Jason and Robert Schwartzman and aunt to actor Nicolas Cage.,CONTROL,NO-RELATION
132,1,"Born Talia Rose Coppola in Lake Success, Long Island, New York, she is the sister of director and producer Francis Ford Coppola.",,NO-RELATION
133,1,"Shire became famous for her roles as the wife of boxer Rocky Balboa in the Rocky movies, and for her role in The Godfather and its sequels.",,NO-RELATION
133,2,"She was nominated for the Academy Award for Best Supporting Actress for The Godfather, Part II and for the Best Actress in a Leading Role for Rocky.",,AWARD
134,2,"Margaret Tyndal Winthrop (February 23, 1880 – July 7, 1970) was the maternal grandmother of U.S. Senator John Kerry, the Presidential candidate.",,NO-RELATION
134,3,"(Winthrop's daughter, Rosemary Isabel Forbes, was Kerry's mother.)",,NO-RELATION
135,1,"Winthrop died at St. Briac Sur Mer, Ille-et-Vilaine, France.",CONTROL,NO-RELATION
136,1,"Other notable figures in this branch of the family tree are Franklin D. Roosevelt (Kerry's 4th cousin twice removed), Jane Addams, Calvin Coolidge (Kerry's 8th cousin once removed), and ironically, George H.W. Bush (Kerry's 9th cousin once removed), and George W. Bush (Kerry's 9th cousin, twice removed).",,NO-RELATION
136,3,"[1] She also has some relation to all the royal houses of Europe, including such figures as Henry III, Henry II, Henry I, Richard the Lionheart, and Russian czar Ivan the Terrible.",,NO-RELATION
137,2,She was born in Massachusetts and raised in Boston.,,VISITED
137,3,"Her grandfather was Robert Charles Winthrop, the conservative Whig Speaker of the House and a U.S. Senator",,NO-RELATION
137,5,"Her ancestors include James Bowdoin, former governor of Maine, and John Winthrop, the first governor of the Massachusetts Bay Colony.",,NO-RELATION
138,1,"David Manners (April 30, 1901 – December 23, 1998) was a Canadian film actor.",,JOB_TITLE;NATIONALITY
139,1,"Born Rauff de Rither Duan Acklom in Halifax, Nova Scotia, Manners came to Hollywood at the beginning of the talking films revolution after studying acting with Eva Le Gallienne, and acting on stage with Helen Hayes.",,VISITED
140,3,"In 1940, he officially changed his name to David Joseph Manners and became a naturalized citizen of the United States.",CONTROL,VISITED
141,1,"He was ""discovered"" by the film director James Whale, and within a few years, he was a popular leading man, playing opposite such up and coming actresses as Katharine Hepburn, Gloria Stuart, Myrna Loy, Loretta Young, and Ann Dvorak, and he was paired several times with Helen Chandler.",,NO-RELATION
142,1,"His most widely seen role was as Jonathan Harker in Tod Browning's Dracula (1931), though he commented throughout his life that he had never watched the film and did not intend to.",,NO-RELATION
143,1,"He died in Santa Barbara, California.",,NO-RELATION
144,1,"Elliott Roosevelt (September 23, 1910 – October 27, 1990), World War II hero and an author, was the son of President Franklin Delano Roosevelt and his wife Eleanor Roosevelt.",,NO-RELATION
145,1,"During World War II, he accompanied FDR as a military aide to the Casablanca meeting of 1943 and the subsequent Cairo and Tehran Conferences.",,VISITED;JOB_TITLE
146,1,"As an Army photo reconnaissance pilot, he and the men in his unit also played a key role in the D-Day landings.",,NO-RELATION
147,1,Colonel Elliot Roosevelt was a pilot in the United States Army Air Force (USAAF) during World War II.,,NO-RELATION
147,2,He flew a P-38 Lightning in the North African campaign of November 1942.,,NO-RELATION
148,1,On 28 February 1934 he and Anthony Fokker each received an excessive half a million dollars for selling fifty military planes to the Soviet government.,,NO-RELATION
148,2,"Elliot and Fokker were able to receive such a large commission because Elliot had close connections to the U.S. Export-Import Bank through his father, Franklin Delano Roosevelt.",,EMPLOYER
149,1,Stella Dorothea Gibbons (5 January 1902—19 December 1989) was an English novelist and poet.,CONTROL,JOB_TITLE;NATIONALITY
149,2,Her works include Cold Comfort Farm.,,NO-RELATION
151,1,Keynes was educated at Oundle School.,,EDUCATION
152,1,"Keynes (pronounced ""Canes"") was born in London, the eldest son of Geoffrey Keynes, and thus the nephew of the economist John Maynard Keynes; and Geoffrey Keynes' wife Elizabeth (née Darwin), the grand-daughter of Charles Darwin, and thus the great-grandson of Charles Darwin (see Darwin -- Wedgwood family).",,NO-RELATION
153,1,"Charles Francis Adams, Jr. (May 27, 1835 – May 20, 1915), a member of the prominent Adams political family and son of Charles Francis Adams, Sr., graduated at Harvard in 1856, and served on the Union side in the American Civil War, receiving in 1865 the brevet of brigadier-general in the regular army.",,JOB_TITLE
153,2,"He was president of the Union Pacific Railroad from 1884 to 1890, having previously become widely known as an authority on the management of railways.",,NO-RELATION
154,1,His son Charles Francis Adams was Secretary of the Navy and a renowned yachtsman.,,NO-RELATION
155,1,"Jean Tardieu (born in St Germain de Joux, France November 1, 1903, died in Créteil, France January 27, 1995) was an artist, musician, poet and dramatic author.",,JOB_TITLE
156,2,He is often associated with the Theatre of the Absurd.,,NO-RELATION
157,1,"John Eric Austin (born August 21, 1944, in Blaby, Leicestershire) is a British Member of Parliament for Erith and Thamesmead.",,JOB_TITLE
157,2,He is a member of the Labour Party.,,NO-RELATION
157,3,He worked as a social worker and was leader of Greenwich council before entering Parliament.,CONTROL,JOB_TITLE
158,1,Austin is a member of the left-wing Socialist Campaign Group.,,NO-RELATION
158,2,He stated his intention to act as a stalking horse against Tony Blair.,,NO-RELATION
158,4,"He indicated his hope that, in the event of an election, Gordon Brown would enter.",,NO-RELATION
159,1,"Robert Strange McNamara (born June 9, 1916) is an American business executive and a former United States Secretary of Defense.",,JOB_TITLE;NATIONALITY
159,3,He resigned that position to become President of the World Bank (1968-1981).,,NO-RELATION
160,1,McNamara was born in San Francisco where his father was sales manager of a wholesale shoe firm.,CONTROL,NO-RELATION
160,2,"He graduated in 1937 from the University of California, Berkeley with a degree in economics and philosophy, and earned a master's degree from the Harvard Graduate School of Business Administration in 1939.",,EDUCATION
161,1,"He worked a year for the accounting firm of Price Waterhouse in San Francisco, and then in August 1940 returned to Harvard to teach in the Business School.",,EMPLOYER;VISITED
161,2,"Following his involvement there in a program to teach the analytical approaches used in business to officers of the Army Air Forces, he entered the Army as a captain in early 1943, serving under Col. Curtis LeMay with analysis of U.S. bombers' efficiency and effectiveness as a major responsibility.",,JOB_TITLE
161,3,He left active duty three years later with the rank of lieutenant colonel.,,JOB_TITLE
161,4,"During this period, McNamara helped to plan the 1945 bombing of Tokyo.",,NO-RELATION
162,1,"In 1946 McNamara joined Ford Motor Company, which he later said had been the result of a Life magazine article which reported how few college-educated managers there were at the then unprofitable company.",,NO-RELATION
163,1,President-elect John F. Kennedy first offered the post of secretary of defense to former secretary Robert A. Lovett.,,NO-RELATION
163,2,"Lovett declined but recommended McNamara; Kennedy had him approached by Sargent Shriver (regarding either the Treasury or the Defense cabinet post), and less than five weeks after becoming president at Ford, McNamara accepted Kennedy's invitation to serve as Secretary of Defense.",,JOB_TITLE
164,1,He also created the Defense Intelligence Agency and the Defense Supply Agency.,,FOUNDER
165,1,"Mary Lilian Baels (November 28, 1916 – June 7, 2002) was best known as Princess de Réthy, the controversial morganatic second wife of King Léopold III of the Belgians.",,NO-RELATION
166,1,"Mary Lilian Lucy Josepha Monique Baels was born in Highbury, London, England, one of eight children of Henri Baels, an attorney and fish trader from Ostend, Belgium, and his wife Anne Marie de Visscher, who were living in England during World War I.",,NO-RELATION
167,2,He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,,NO-RELATION
168,1,"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.",CONTROL,NO-RELATION
169,2,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.",,NO-RELATION
170,1,"Eventually Obadiah, Henry and possibly another brother or two went off to find their fortunes in the California Gold Rush of 1849.",,NO-RELATION
171,1,"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.",,EDUCATION
171,2,"Another example of a player misjudged by the NFL, he became an ironman of the American Football League who never missed a game during his career, starting 112 consecutive games.",,NO-RELATION
171,5,"He was voted to five American Football League All-Star teams (1961, 1963-65).",,NO-RELATION
172,1,"Joseph H. Ball (November 3, 1905 - December 18, 1993) was an American politician.",CONTROL,JOB_TITLE;NATIONALITY
172,2,He served in the United States Senate as a Republican from Minnesota.,,POLITICAL_AFFILIATION;VISITED
173,1,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,,NO-RELATION
173,6,He lost his reelection bid in 1948 to Hubert H. Humphrey.,,NO-RELATION
173,7,"Ball died in Chevy Chase, Maryland.",,NO-RELATION
174,1,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.",,NO-RELATION
175,1,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".",,EDUCATION
176,1,"Matthew Parker (August 6, 1504 - May 17, 1575) was Archbishop of Canterbury from 1559.",,JOB_TITLE
177,1,"The eldest son of William Parker, he was born in Norwich, in St. Saviour's parish.",,NO-RELATION
177,4,"Matthew was sent in 1522 to Corpus Christi College, Cambridge, where he is said to have been contemporary with William Cecil, but Cecil was only two years old at the time.",,EDUCATION
177,6,"He commenced MA in 1528, and was one of the Cambridge scholars whom Thomas Wolsey wished to transplant to his newly founded ""Cardinal College"" at Oxford.",,NO-RELATION
178,1,"Adolf Otto Reinhold Windaus (December 25, 1876 – June 9, 1959) was a significant German chemist.",,JOB_TITLE;NATIONALITY
178,2,He won a Nobel Prize in Chemistry in 1928.,CONTROL,AWARD
179,1,"Jack Kerouac (March 12, 1922 – October 21, 1969) was an American novelist, writer, poet, artist, and part of the Beat Generation.",,JOB_TITLE;NATIONALITY
180,1,"During Kerouac's time at Columbia University, Burroughs and Kerouac got into trouble with the law for failing to report a murder; this incident formed the basis of a mystery novel the two collaborated on in 1945 entitled And the Hippos Were Boiled in Their Tanks (the novel was never published, although an excerpt from the manuscript would be included in the Burroughs compilation Word Virus).",,EDUCATION
180,2,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.",,VISITED
